id,ts_iso8601,source_file,gap_prev_global_sec,gap_prev_within_file_sec,session_id_within_file,session_key,gap_prev_within_session_sec,session_start_ts_iso8601,session_end_ts_iso8601,session_row_count,session_duration_sec,session_median_gap_sec,session_p90_gap_sec,cadence_family,ruuvi,aplicom,companyid,address,rssi,advdata,lat,lon,geom,temperature,accx,accy,accz,battvoltage,txpower,movcounter,measseqnum,calibrated_accx,calibrated_accy,calibrated_accz
18620830,2025-11-10T04:06:28.803000+0200,flic_button_data_export_20251110.csv,1.52,1.52,2,flic_button_data_export_20251110.csv::2,1.52,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-63,,60.382921,23.100934,0101000020E6100000F10D85CFD6193740CFF9298E03314E40,,,,,,,,,,,
18620831,2025-11-10T04:06:30.328000+0200,flic_button_data_export_20251110.csv,1.525,1.525,2,flic_button_data_export_20251110.csv::2,1.525,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-62,,60.38278,23.101075,0101000020E610000076711B0DE01937400CC85EEFFE304E40,,,,,,,,,,,
18620832,2025-11-10T04:06:32.815000+0200,flic_button_data_export_20251110.csv,2.487,2.487,2,flic_button_data_export_20251110.csv::2,2.487,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-73,,60.382527,23.101324,0101000020E6100000C74CA25EF0193740236B0DA5F6304E40,,,,,,,,,,,
18620834,2025-11-10T04:06:34.359000+0200,flic_button_data_export_20251110.csv,1.544,1.544,2,flic_button_data_export_20251110.csv::2,1.544,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-63,,60.382367,23.101483,0101000020E6100000981936CAFA193740EA08E066F1304E40,,,,,,,,,,,
18620835,2025-11-10T04:06:35.891000+0200,flic_button_data_export_20251110.csv,1.532,1.532,2,flic_button_data_export_20251110.csv::2,1.532,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-61,,60.382151,23.101694,0101000020E61000000D33349E081A37401D91EF52EA304E40,,,,,,,,,,,
18620836,2025-11-10T04:06:37.434000+0200,flic_button_data_export_20251110.csv,1.543,1.543,2,flic_button_data_export_20251110.csv::2,1.543,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-64,,60.382041,23.101802,0101000020E6100000DAAA24B20F1A3740965D30B8E6304E40,,,,,,,,,,,
18620837,2025-11-10T04:06:39.716000+0200,flic_button_data_export_20251110.csv,2.282,2.282,2,flic_button_data_export_20251110.csv::2,2.282,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-60,,60.381873,23.101968,0101000020E6100000103D29931A1A3740DA1CE736E1304E40,,,,,,,,,,,
18620838,2025-11-10T04:06:41.885000+0200,flic_button_data_export_20251110.csv,2.169,2.169,2,flic_button_data_export_20251110.csv::2,2.169,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-57,,60.381473,23.102371,0101000020E61000000F0F61FC341A37404CA7751BD4304E40,,,,,,,,,,,
18620840,2025-11-10T04:06:43.417000+0200,flic_button_data_export_20251110.csv,1.532,1.532,2,flic_button_data_export_20251110.csv::2,1.532,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-59,,60.381355,23.102489,0101000020E6100000223317B83C1A374042959A3DD0304E40,,,,,,,,,,,
18620841,2025-11-10T04:06:44.953000+0200,flic_button_data_export_20251110.csv,1.536,1.536,2,flic_button_data_export_20251110.csv::2,1.536,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-63,,60.38112,23.102729,0101000020E6100000CD599F724C1A3740FFEC478AC8304E40,,,,,,,,,,,
18620842,2025-11-10T04:06:46.472000+0200,flic_button_data_export_20251110.csv,1.519,1.519,2,flic_button_data_export_20251110.csv::2,1.519,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-57,,60.380941,23.102911,0101000020E61000000E661360581A37404F5AB8ACC2304E40,,,,,,,,,,,
